"name","party","Q_1","Q_2","Q_3","Q_4","Q_5","Q_6","Q_7","Q_8","Q_9","Q_10","Q_11","Q_12","Q_13","Q_14","Q_15","Q_16","Q_17","Q_18","Q_19","Q_20","Q_21","Q_22","Q_23","Q_24","Q_25","Q_26","Q_27","Q_28","Q_29"
"Hedi Teidearu","Parempoolsed",2,1,1,4,2,3,2,1,2,3,3,2,3,NA,NA,4,NA,3,1,3,3,1,2,4,4,4,3,4,3
"Tiina Uueni","Parempoolsed",2,1,1,3,1,3,2,1,2,3,3,1,3,NA,NA,3,NA,2,1,3,3,2,2,4,4,4,4,4,4
"Siim Valmar Kiisler","Parempoolsed",2,1,1,3,1,3,2,1,2,3,3,1,3,NA,NA,3,NA,2,1,3,3,1,2,4,4,4,4,4,4
"Margit Leerimaa","Parempoolsed",2,1,1,3,1,3,2,1,2,3,3,1,3,NA,NA,3,NA,2,1,3,3,2,2,4,4,4,4,4,3
"Signe Laar","Parempoolsed",2,1,1,3,1,4,3,1,2,3,3,1,3,NA,NA,3,NA,2,1,3,3,2,2,4,4,4,4,4,3
"Ülle Kell","Parempoolsed",2,1,1,3,1,3,2,1,2,3,3,1,3,NA,NA,3,NA,2,1,3,3,2,2,4,4,4,4,4,4
"Tiit Terik","Keskerakond",3,3,3,3,3,3,3,2,3,3,3,1,2,1,1,4,4,2,1,3,1,3,3,3,3,2,3,4,2
"Kaisa-Lisete Kumari","Parempoolsed",2,1,1,3,2,3,2,2,2,3,3,3,2,4,1,4,4,3,1,3,2,2,2,4,4,4,4,4,3
"Mai Loog","Parempoolsed",2,1,1,3,1,3,2,1,2,3,3,1,3,3,NA,3,NA,2,1,3,3,2,2,4,4,4,4,4,4
"Rainer Lomp","Parempoolsed",2,1,1,3,1,4,2,1,2,4,3,1,3,3,2,4,4,2,1,3,3,2,2,4,3,4,4,4,3
"Rein Mootse","Parempoolsed",2,1,1,3,2,2,2,1,3,4,3,3,3,2,1,4,4,2,1,2,2,1,1,2,3,4,3,3,3
"Margus Karro","Parempoolsed",2,1,4,4,1,3,3,4,2,4,4,3,4,4,1,4,4,4,1,4,1,2,1,3,3,3,4,4,1
"Tõnu Aigro","Parempoolsed",2,2,2,3,4,2,3,2,3,3,4,2,2,2,3,3,4,2,1,3,1,1,4,2,2,2,3,3,2
"Ülo Heinsoo","Parempoolsed",2,1,1,3,2,3,3,1,2,3,4,1,3,NA,NA,4,NA,2,1,3,3,1,2,4,3,3,3,4,4
"Tiit Naber","Parempoolsed",2,1,1,3,1,3,2,1,2,3,4,2,2,3,2,3,2,2,1,3,3,2,2,3,3,3,2,3,3
"Merli Kaunissaar","Parempoolsed",2,1,3,2,2,3,3,1,2,3,3,3,3,4,2,4,4,3,2,3,2,3,3,2,3,3,3,3,2
"Marju Puurand","Parempoolsed",2,3,2,3,2,3,3,2,3,4,2,4,1,4,1,4,4,3,1,3,3,3,1,3,3,3,4,4,4
"Oivi Nõmmerga","Parempoolsed",2,1,1,3,1,3,1,2,3,4,3,1,4,NA,NA,3,NA,2,1,3,3,1,2,4,4,4,4,4,4
"Andres Tölp","Parempoolsed",2,1,3,1,3,3,2,1,2,3,4,3,3,2,1,4,3,2,1,3,1,1,4,1,3,1,3,4,1
"Tiit-Rein Viitso","Parempoolsed",1,1,1,4,1,2,3,1,3,3,3,1,4,3,NA,2,NA,2,1,4,4,2,1,4,4,4,4,NA,3
"Roman Astahhov","Parempoolsed",3,1,1,3,1,3,2,1,2,3,3,1,3,NA,NA,3,NA,2,1,3,3,2,2,4,4,4,4,4,4
"Liina Tsimmer","Parempoolsed",2,1,2,3,2,3,2,1,1,2,4,NA,2,4,NA,4,3,3,1,3,1,3,3,1,4,4,2,4,1
